Salario,Educación,Sexo,Estado civil
3.0999999046325684,11,Fem,Soltero/a
3.240000009536743,12,Fem,Casado/a
3.0,11,Masc,Soltero/a
6.0,8,Masc,Casado/a
5.300000190734863,12,Masc,Casado/a
8.75,16,Masc,Casado/a
11.25,18,Masc,Soltero/a
5.0,12,Fem,Soltero/a
3.5999999046325684,12,Fem,Soltero/a
18.18000030517578,17,Masc,Casado/a
6.25,16,Fem,Soltero/a
8.130000114440918,13,Fem,Soltero/a
8.770000457763672,12,Masc,Casado/a
5.5,12,Masc,Soltero/a
22.200000762939453,12,Masc,Casado/a
17.329999923706055,16,Masc,Casado/a
7.5,12,Fem,Casado/a
10.630000114440918,13,Fem,Soltero/a
3.5999999046325684,12,Fem,Casado/a
4.5,12,Fem,Casado/a
6.880000114440918,12,Fem,Soltero/a
8.479999542236328,12,Masc,Casado/a
6.329999923706055,16,Fem,Soltero/a
0.5299999713897705,12,Fem,Soltero/a
6.0,11,Fem,Soltero/a
9.5600004196167,16,Masc,Casado/a
7.78000020980835,16,Masc,Casado/a
12.5,16,Masc,Casado/a
12.5,15,Masc,Casado/a
3.25,8,Fem,Casado/a
13.0,14,Masc,Casado/a
4.5,14,Fem,Soltero/a
9.68000030517578,13,Fem,Soltero/a
5.0,12,Fem,Soltero/a
4.679999828338623,12,Fem,Soltero/a
4.269999980926514,16,Fem,Casado/a
6.150000095367432,12,Fem,Casado/a
3.509999990463257,4,Masc,Casado/a
3.0,14,Fem,Casado/a
6.25,12,Fem,Soltero/a
7.809999942779541,12,Fem,Casado/a
10.0,12,Fem,Casado/a
4.5,14,Fem,Casado/a
4.0,11,Fem,Casado/a
6.380000114440918,13,Fem,Soltero/a
13.699999809265137,15,Masc,Casado/a
1.6699999570846558,10,Masc,Soltero/a
2.930000066757202,12,Fem,Casado/a
3.650000095367432,14,Masc,Soltero/a
2.900000095367432,12,Fem,Casado/a
1.6299999952316284,12,Fem,Soltero/a
8.600000381469727,16,Fem,Soltero/a
5.0,12,Masc,Casado/a
6.0,12,Masc,Casado/a
2.5,12,Masc,Soltero/a
3.25,15,Masc,Soltero/a
3.400000095367432,16,Fem,Soltero/a
10.0,8,Masc,Soltero/a
21.6299991607666,18,Fem,Soltero/a
4.380000114440918,16,Masc,Soltero/a
11.710000038146973,13,Fem,Soltero/a
12.390000343322754,14,Masc,Soltero/a
6.25,10,Masc,Soltero/a
3.7100000381469727,10,Fem,Soltero/a
7.78000020980835,14,Masc,Soltero/a
19.979999542236328,14,Masc,Casado/a
6.25,16,Fem,Casado/a
10.0,12,Masc,Casado/a
5.710000038146973,16,Masc,Casado/a
2.0,12,Fem,Soltero/a
5.710000038146973,16,Fem,Soltero/a
13.079999923706056,17,Masc,Casado/a
4.909999847412109,12,Masc,Casado/a
2.9100000858306885,12,Fem,Casado/a
3.75,12,Fem,Casado/a
11.899999618530272,13,Masc,Casado/a
4.0,12,Fem,Casado/a
3.0999999046325684,12,Fem,Soltero/a
8.449999809265137,12,Masc,Casado/a
7.139999866485596,18,Masc,Casado/a
4.5,9,Masc,Casado/a
4.650000095367432,16,Masc,Soltero/a
2.900000095367432,10,Fem,Soltero/a
6.670000076293945,12,Masc,Soltero/a
3.5,12,Fem,Soltero/a
3.259999990463257,12,Fem,Casado/a
3.25,12,Fem,Casado/a
8.0,12,Fem,Soltero/a
9.850000381469728,8,Masc,Casado/a
7.5,12,Masc,Casado/a
5.909999847412109,12,Masc,Casado/a
11.760000228881836,14,Masc,Casado/a
3.0,12,Fem,Soltero/a
4.809999942779541,12,Fem,Soltero/a
6.5,12,Fem,Soltero/a
4.0,9,Fem,Casado/a
3.5,13,Masc,Soltero/a
13.15999984741211,12,Masc,Casado/a
4.25,14,Masc,Casado/a
3.5,12,Masc,Soltero/a
5.130000114440918,15,Fem,Soltero/a
3.75,12,Fem,Casado/a
4.5,12,Fem,Casado/a
7.630000114440918,12,Fem,Soltero/a
15.0,14,Masc,Casado/a
6.849999904632568,15,Fem,Casado/a
13.329999923706056,12,Masc,Casado/a
6.670000076293945,12,Masc,Soltero/a
2.5299999713897705,12,Fem,Soltero/a
9.800000190734863,17,Masc,Casado/a
3.369999885559082,11,Masc,Casado/a
24.979999542236328,18,Masc,Casado/a
5.400000095367432,12,Masc,Casado/a
